Time,Open,High,Low,Last,Change,Volume
03/15/19,283.51,283.7244,274.4,275.43,-14.53,14785500
03/14/19,292.45,295.39,288.29,289.96,1,7103400
03/13/19,283.9,291.99,282.7,288.96,5.6,6844700
03/12/19,286.49,288.07,281.06,283.36,-7.56,7504100
03/11/19,283.52,291.28,280.5,290.92,6.78,7392200
03/08/19,276.91,285.59,275.89,284.14,7.55,8819600
03/07/19,278.84,284.7,274.25,276.59,0.34999999999997,9442400
03/06/19,276.48,281.5058,274.39,276.24,-0.30000000000001,10335400
03/05/19,282,284,270.1,276.54,-8.82,18764700
03/04/19,298.12,299,282.78,285.36,-9.43,17096800
03/01/19,306.94,307.13,291.9,294.79,-25.09,22911300
02/28/19,318.92,320,310.81,319.88,5.14,10520600
02/27/19,301.78,316.295,300.55,314.74,16.88,11183900
02/26/19,292.22,302.01,288.77,297.86,-0.90999999999997,8582500
02/25/19,297.91,302.9,297,298.77,4.06,6626500
02/22/19,294.49,296.5,292.1,294.71,3.48,5740500
02/21/19,301.81,303.24,290.5,291.23,-11.33,8909100
02/20/19,304.41,306.3,299,302.56,-3.08,7142100
02/19/19,306.56,311.54,305.47,305.64,-2.24,4168400
02/15/19,304.5,308,303.9,307.88,4.11,3904900
02/14/19,303.38,306.77,301,303.77,-4.4,5201300
02/13/19,312.35,312.75,305.57,308.17,-3.64,5141600
02/12/19,316.2,318.19,309.62,311.81,-1.03,5517500
02/11/19,311.6,318.6,310.5,312.84,7.04,7129700
02/08/19,306.83,307.445,298.5,305.8,-1.71,5844200
02/07/19,313.3,314.7,303,307.51,-9.71,6520600
02/06/19,319.59,324.24,315.62,317.22,-4.13,5038500
02/05/19,312.49,322.44,312.25,321.35,8.46,6742700
02/04/19,312.98,315.3,301.88,312.89,0.68000000000001,7352000
02/01/19,305.42,316.1,303.5,312.21,5.19,7283400
01/31/19,301,311.56,294,307.02,-1.75,12569200
01/30/19,300.45,309,298.49,308.77,11.31,11250300
01/29/19,295.27,298.56,291.8,297.46,1.08,4621600
01/28/19,292.91,297.46,287.75,296.38,-0.66000000000003,6423200
01/25/19,294.39,298.52,289.55,297.04,5.53,7258000
01/24/19,283.03,293.68,279.28,291.51,3.92,8012100
01/23/19,292.5,294.5,281.69,287.59,-11.33,12529900
01/22/19,304.82,308,295.5,298.92,-3.34,12066700
01/18/19,323,327.13,299.73,302.26,-45.05,24150700
01/17/19,346.21,351.5,344.15,347.31,1.26,3676700
01/16/19,344.78,352,343.5,346.05,1.62,4691700
01/15/19,335,348.8,334.5,344.43,10.03,6056500
01/14/19,342.38,342.5,334,334.4,-12.86,5247200
01/11/19,342.09,348.41,338.77,347.26,2.29,5039000
01/10/19,334.4,345.39,331.79,344.97,6.4400000000001,6056300
01/09/19,335.5,343.5,331.47,338.53,3.1799999999999,5432900
01/08/19,341.96,344.01,327.02,335.35,0.39000000000004,7008500
01/07/19,321.72,336.74,317.75,334.96,17.27,7551200
01/04/19,306,318,302.73,317.69,17.33,7394100
01/03/19,307,309.4,297.38,300.36,-9.76,6965100
01/02/19,306.1,315.13,298.8,310.12,-22.68,11658600
"Downloaded from Barchart.com as of 05-30-2019 04:05am CDT"
